orderId,orderDateTime,totalAmount,id,name,quantity,amount,merchantId,name
16938,"2021-10-09 04:39:38",1.00,2,"Fried Noodle 炒面",1,1.00,18,"Restaurant Example"
16939,"2021-10-09 04:43:10",13.00,2,"Fried Noodle 炒面",5,1.00,18,"Restaurant Example"
16939,"2021-10-09 04:43:10",13.00,2,"Lemon Grass",1,3.00,18,"Restaurant Example"
16939,"2021-10-09 04:43:10",13.00,2,"kimchi fried rice",1,5.00,18,"Restaurant Example"
16940,"2021-10-09 10:39:14",16.40,1010,"咖喱面 Curry Mee",2,0.00,103,"93 咖喱猪肠粉,猪肠粉,咖喱面 (Bayan Baru Food Court)"
16940,"2021-10-09 10:39:14",16.40,1010,"猪肠粉 Chee Cheong Fun",4,0.00,103,"93 咖喱猪肠粉,猪肠粉,咖喱面 (Bayan Baru Food Court)"
16941,"2021-10-09 11:03:12",9.00,857,"咖喱面 Curry Mee",1,0.00,103,"93 咖喱猪肠粉,猪肠粉,咖喱面 (Bayan Baru Food Court)"
16941,"2021-10-09 11:03:12",9.00,857,"咖喱面 Curry Mee",1,0.00,103,"93 咖喱猪肠粉,猪肠粉,咖喱面 (Bayan Baru Food Court)"
16943,"2021-10-09 14:01:55",9.00,1011,"鸭蛋炒粿条 (小)",2,6.00,117,"MingQing Charcoal Duck Egg"
16944,"2021-10-09 14:16:51",26.40,1012,"鸭蛋炒粿条 (小)",4,6.00,117,"MingQing Charcoal Duck Egg"
16944,"2021-10-09 14:16:51",26.40,1012,泰国绿茶,2,4.50,117,"MingQing Charcoal Duck Egg"
16945,"2021-10-09 14:27:46",10.87,2,"Ink Fried Chicken",1,10.50,54,"Ink Fried Chicken 墨汁鸡排"
16947,"2021-10-09 17:22:04",45.90,725,"6 in 1 SNACK COMBO SET",1,30.00,88,"BM OTO Fried Chicken"
16947,"2021-10-09 17:22:04",45.90,725,"CHICKEN SKIN 鸡皮",1,5.00,88,"BM OTO Fried Chicken"
16947,"2021-10-09 17:22:04",45.90,725,"SET C",2,8.00,88,"BM OTO Fried Chicken"
16950,"2021-10-09 17:22:54",6.11,73,Americano,1,6.90,40,"Cube Coffee (Greenlane)"
16951,"2021-10-09 17:54:34",15.00,1013,"Koay Teow (Big)",3,6.00,98,味鄉炭烧鸭蛋炒粿條
16952,"2021-10-09 17:55:32",4.90,1014,"炒粿条 (小)",1,5.70,122,大山脚鸭蛋炒粿条
16954,"2021-10-09 18:16:02",11.30,1015,炒粿条(大),1,6.20,122,大山脚鸭蛋炒粿条
